date,channel,visits,trials,conversions,spend
2024-03-01,Organic,914,247,5,0.0
2024-03-01,Google Ads,760,204,8,837.42
2024-03-01,LinkedIn Ads,325,78,2,608.65
2024-03-01,Referral,191,51,4,0.0
2024-04-01,Organic,935,242,5,0.0
2024-04-01,Google Ads,728,175,6,819.57
2024-04-01,LinkedIn Ads,287,74,2,504.57
2024-04-01,Referral,195,54,5,0.0
2024-05-01,Organic,836,184,4,0.0
2024-05-01,Google Ads,731,168,6,829.96
2024-05-01,LinkedIn Ads,267,64,3,479.66
2024-05-01,Referral,210,60,4,0.0
2024-06-01,Organic,998,281,5,0.0
2024-06-01,Google Ads,751,166,5,951.39
2024-06-01,LinkedIn Ads,372,81,3,740.41
2024-06-01,Referral,197,51,4,0.0
2024-07-01,Organic,955,220,5,0.0
2024-07-01,Google Ads,973,244,7,1192.0
2024-07-01,LinkedIn Ads,440,104,5,845.93
2024-07-01,Referral,254,62,6,0.0
2024-08-01,Organic,1166,345,8,0.0
2024-08-01,Google Ads,948,250,6,1171.7
2024-08-01,LinkedIn Ads,451,120,5,888.39
2024-08-01,Referral,250,65,5,0.0
2024-09-01,Organic,1246,295,6,0.0
2024-09-01,Google Ads,939,255,7,1148.98
2024-09-01,LinkedIn Ads,512,140,6,1044.69
2024-09-01,Referral,227,47,4,0.0
2024-10-01,Organic,1019,175,2,0.0
2024-10-01,Google Ads,816,207,7,996.22
2024-10-01,LinkedIn Ads,449,102,4,918.68
2024-10-01,Referral,240,49,3,0.0
2024-11-01,Organic,942,251,5,0.0
2024-11-01,Google Ads,904,211,7,1074.11
2024-11-01,LinkedIn Ads,388,116,5,796.9
2024-11-01,Referral,231,46,3,0.0
2024-12-01,Organic,1100,287,5,0.0
2024-12-01,Google Ads,822,210,7,1085.31
2024-12-01,LinkedIn Ads,442,102,4,1009.63
2024-12-01,Referral,244,46,3,0.0
2025-01-01,Organic,1114,277,5,0.0
2025-01-01,Google Ads,1087,307,9,1353.65
2025-01-01,LinkedIn Ads,471,92,4,920.87
2025-01-01,Referral,271,73,5,0.0
2025-02-01,Organic,1329,354,7,0.0
2025-02-01,Google Ads,1015,248,6,1321.05
2025-02-01,LinkedIn Ads,570,135,5,1167.12
2025-02-01,Referral,225,60,5,0.0
2025-03-01,Organic,1089,256,5,0.0
2025-03-01,Google Ads,1013,181,6,1314.67
2025-03-01,LinkedIn Ads,491,156,7,1108.76
2025-03-01,Referral,289,82,7,0.0
2025-04-01,Organic,1276,266,3,0.0
2025-04-01,Google Ads,1026,276,8,1343.7
2025-04-01,LinkedIn Ads,514,140,6,1125.14
2025-04-01,Referral,219,49,4,0.0
2025-05-01,Organic,1341,281,5,0.0
2025-05-01,Google Ads,1190,306,10,1549.05
2025-05-01,LinkedIn Ads,508,147,5,1072.79
2025-05-01,Referral,291,68,4,0.0
2025-06-01,Organic,1362,346,7,0.0
2025-06-01,Google Ads,1155,302,8,1656.34
2025-06-01,LinkedIn Ads,554,153,7,1207.55
2025-06-01,Referral,311,78,5,0.0
2025-07-01,Organic,1277,316,6,0.0
2025-07-01,Google Ads,1233,315,12,1814.55
2025-07-01,LinkedIn Ads,539,132,6,1192.94
2025-07-01,Referral,235,54,3,0.0
2025-08-01,Organic,1237,287,6,0.0
2025-08-01,Google Ads,1291,367,13,1823.21
2025-08-01,LinkedIn Ads,552,133,5,1308.39
2025-08-01,Referral,313,69,5,0.0
